Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,20,8.84,2-methyltetrahydrofuran,Potassium phosphate tribasic,N-acetyl cysteine,5,0.983027834
Palladium(II) acetate,20,10.33,2-methyltetrahydrofuran,Potassium bicarbonate,N-acetyl cysteine,5,0.983027834
Palladium(II) acetate,20,10.06,2-methyltetrahydrofuran,Potassium carbonate,N-acetyl cysteine,5,0.983027834
Palladium(II) acetate,20,12.19,2-methyltetrahydrofuran,Potassium hydroxide,N-acetyl cysteine,5,0.983027834
Palladium(II) acetate,20,8.84,Toluene,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982935154
Palladium(II) acetate,20,10.33,Toluene,Potassium bicarbonate,N-acetyl cysteine,5,0.982935154
Palladium(II) acetate,20,10.06,Toluene,Potassium carbonate,N-acetyl cysteine,5,0.982935154
Palladium(II) acetate,20,12.19,Toluene,Potassium hydroxide,N-acetyl cysteine,5,0.982935154
Palladium(II) acetate,20,8.84,Ethyl acetate,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982710927
Palladium(II) acetate,20,10.33,Ethyl acetate,Potassium bicarbonate,N-acetyl cysteine,5,0.982710927
Palladium(II) acetate,20,10.06,Ethyl acetate,Potassium carbonate,N-acetyl cysteine,5,0.982710927
Palladium(II) acetate,20,12.19,Ethyl acetate,Potassium hydroxide,N-acetyl cysteine,5,0.982710927
Palladium(II) acetate,20,8.84,Methyl isobutyl ketone,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982231699
Palladium(II) acetate,20,10.33,Methyl isobutyl ketone,Potassium bicarbonate,N-acetyl cysteine,5,0.982231699
Palladium(II) acetate,20,10.06,Methyl isobutyl ketone,Potassium carbonate,N-acetyl cysteine,5,0.982231699
Palladium(II) acetate,20,12.19,Methyl isobutyl ketone,Potassium hydroxide,N-acetyl cysteine,5,0.982231699
Palladium(II) acetate,20,8.84,Cyclopentyl methyl ether,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982282069
Palladium(II) acetate,20,10.33,Cyclopentyl methyl ether,Potassium bicarbonate,N-acetyl cysteine,5,0.982282069
Palladium(II) acetate,20,10.06,Cyclopentyl methyl ether,Potassium carbonate,N-acetyl cysteine,5,0.982282069
Palladium(II) acetate,20,12.19,Cyclopentyl methyl ether,Potassium hydroxide,N-acetyl cysteine,5,0.982282069
Palladium(II) acetate,20,8.81,2-methyltetrahydrofuran,Potassium phosphate tribasic,N-acetyl cysteine,10,0.983027834
Palladium(II) acetate,20,10.71,2-methyltetrahydrofuran,Potassium bicarbonate,N-acetyl cysteine,10,0.983027834
Palladium(II) acetate,20,9.97,2-methyltetrahydrofuran,Potassium carbonate,N-acetyl cysteine,10,0.983027834
Palladium(II) acetate,20,12.24,2-methyltetrahydrofuran,Potassium hydroxide,N-acetyl cysteine,10,0.983027834
Palladium(II) acetate,20,8.81,Toluene,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982935154
Palladium(II) acetate,20,10.71,Toluene,Potassium bicarbonate,N-acetyl cysteine,10,0.982935154
Palladium(II) acetate,20,9.97,Toluene,Potassium carbonate,N-acetyl cysteine,10,0.982935154
Palladium(II) acetate,20,12.24,Toluene,Potassium hydroxide,N-acetyl cysteine,10,0.982935154
Palladium(II) acetate,20,8.81,Ethyl acetate,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982710927
Palladium(II) acetate,20,10.71,Ethyl acetate,Potassium bicarbonate,N-acetyl cysteine,10,0.982710927
Palladium(II) acetate,20,9.97,Ethyl acetate,Potassium carbonate,N-acetyl cysteine,10,0.982710927
Palladium(II) acetate,20,12.24,Ethyl acetate,Potassium hydroxide,N-acetyl cysteine,10,0.982710927
Palladium(II) acetate,20,8.81,Methyl isobutyl ketone,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982231699
Palladium(II) acetate,20,10.71,Methyl isobutyl ketone,Potassium bicarbonate,N-acetyl cysteine,10,0.982231699
Palladium(II) acetate,20,9.97,Methyl isobutyl ketone,Potassium carbonate,N-acetyl cysteine,10,0.982231699
Palladium(II) acetate,20,12.24,Methyl isobutyl ketone,Potassium hydroxide,N-acetyl cysteine,10,0.982231699
Palladium(II) acetate,20,8.81,Cyclopentyl methyl ether,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982282069
Palladium(II) acetate,20,10.71,Cyclopentyl methyl ether,Potassium bicarbonate,N-acetyl cysteine,10,0.982282069
Palladium(II) acetate,20,9.97,Cyclopentyl methyl ether,Potassium carbonate,N-acetyl cysteine,10,0.982282069
Palladium(II) acetate,20,12.24,Cyclopentyl methyl ether,Potassium hydroxide,N-acetyl cysteine,10,0.982282069
Palladium(II) acetate,20,8.92,2-methyltetrahydrofuran,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.983027834
Palladium(II) acetate,20,10.18,2-methyltetrahydrofuran,Potassium bicarbonate,Thiosalicylic Acid,5,0.983027834
Palladium(II) acetate,20,10.09,2-methyltetrahydrofuran,Potassium carbonate,Thiosalicylic Acid,5,0.983027834
Palladium(II) acetate,20,12.16,2-methyltetrahydrofuran,Potassium hydroxide,Thiosalicylic Acid,5,0.983027834
Palladium(II) acetate,20,8.92,Toluene,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.982935154
